Designator,Mid X,Mid Y,Layer,Rotation
J2,2.99,-20.06,top,0
J3,40.15,-89.5,top,-90
SW1,10,-92,top,90
SW2,27.25,-92,top,90
SW3,45.5,-92,top,90
