Designator,Mid X,Mid Y,Rotation,Layer
J2,4.26,-39.71,0.0,top
J3,37.19,-88.33,270.0,top
SW1,46.25,-93.25,270.0,top
SW2,27.25,-93.25,270.0,top
SW3,8.25,-93.25,270.0,top
